level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	335	80	-1	
2	1	1	0	0	0	0	7	325	18	-1	
3	1	1	1	0	0	0	7	325	18	-1	
4	1	1	1	1	0	0	7	325	8	-1	
5	1	1	1	1	1	0	7	46	8	11.025419	“SOSingles
5	1	1	1	1	2	55	0	18	23	0.000000	=
5	1	1	1	1	3	83	8	42	6	0.000000	4-G:90PM
5	1	1	1	1	4	132	0	20	23	0.000000	=
5	1	1	1	1	5	171	7	14	6	60.505901	UTR
5	1	1	1	1	6	188	7	30	6	78.286774	Doubles
5	1	1	1	1	7	221	7	19	7	36.890636	(20~
5	1	1	1	1	8	294	8	17	6	23.153133	‘520
5	1	1	1	1	9	314	8	11	6	24.239988	PM
4	1	1	1	2	0	171	17	17	8	-1	
5	1	1	1	2	1	171	17	17	8	12.728252	80)
