asset_name,alt_text,png_path,webp_path,avif_path
01-lbta-philosophy-junior-player-net-approach,"Junior tennis player moving forward near the net during an on-court drill.","source-png/01-lbta-philosophy-junior-player-net-approach.png","webp/01-lbta-philosophy-junior-player-net-approach.webp","avif/01-lbta-philosophy-junior-player-net-approach.avif"
02-lbta-philosophy-coach-overhead-demonstration,"Coach demonstrating overhead contact point while holding tennis balls beside a player.","source-png/02-lbta-philosophy-coach-overhead-demonstration.png","webp/02-lbta-philosophy-coach-overhead-demonstration.webp","avif/02-lbta-philosophy-coach-overhead-demonstration.avif"
03-lbta-philosophy-adult-group-ready-position,"Adult group tennis class lined up in ready position on court.","source-png/03-lbta-philosophy-adult-group-ready-position.png","webp/03-lbta-philosophy-adult-group-ready-position.webp","avif/03-lbta-philosophy-adult-group-ready-position.avif"
04-lbta-philosophy-womens-club-group-photo,"Women's tennis club group posing together on court with colorful racquets.","source-png/04-lbta-philosophy-womens-club-group-photo.png","webp/04-lbta-philosophy-womens-club-group-photo.webp","avif/04-lbta-philosophy-womens-club-group-photo.avif"
05-lbta-philosophy-junior-backhand-portrait,"Junior player setting up for a two-handed backhand on court.","source-png/05-lbta-philosophy-junior-backhand-portrait.png","webp/05-lbta-philosophy-junior-backhand-portrait.webp","avif/05-lbta-philosophy-junior-backhand-portrait.avif"
06-lbta-philosophy-adult-groundstroke-follow-through,"Adult player finishing a groundstroke during a rally.","source-png/06-lbta-philosophy-adult-groundstroke-follow-through.png","webp/06-lbta-philosophy-adult-groundstroke-follow-through.webp","avif/06-lbta-philosophy-adult-groundstroke-follow-through.avif"
07-lbta-philosophy-junior-backhand-at-sunset,"Junior player preparing a backhand with sunset light behind the court fence.","source-png/07-lbta-philosophy-junior-backhand-at-sunset.png","webp/07-lbta-philosophy-junior-backhand-at-sunset.webp","avif/07-lbta-philosophy-junior-backhand-at-sunset.avif"
08-lbta-philosophy-young-player-celebration,"Young tennis player celebrating a point with racquet in hand.","source-png/08-lbta-philosophy-young-player-celebration.png","webp/08-lbta-philosophy-young-player-celebration.webp","avif/08-lbta-philosophy-young-player-celebration.avif"
09-lbta-philosophy-coach-ball-feed-sunset,"Coach feeding balls from a basket during a sunset drill session.","source-png/09-lbta-philosophy-coach-ball-feed-sunset.png","webp/09-lbta-philosophy-coach-ball-feed-sunset.webp","avif/09-lbta-philosophy-coach-ball-feed-sunset.avif"
10-lbta-philosophy-adult-forehand-portrait,"Adult player striking a forehand in a portrait-style action shot.","source-png/10-lbta-philosophy-adult-forehand-portrait.png","webp/10-lbta-philosophy-adult-forehand-portrait.webp","avif/10-lbta-philosophy-adult-forehand-portrait.avif"
11-lbta-philosophy-academy-group-portrait,"Laguna Beach Tennis Academy coaches and junior players posing for a group portrait.","source-png/11-lbta-philosophy-academy-group-portrait.png","webp/11-lbta-philosophy-academy-group-portrait.webp","avif/11-lbta-philosophy-academy-group-portrait.avif"
12-lbta-philosophy-coach-junior-player-instruction,"Coach giving on-court instruction to a junior player during training.","source-png/12-lbta-philosophy-coach-junior-player-instruction.png","webp/12-lbta-philosophy-coach-junior-player-instruction.webp","avif/12-lbta-philosophy-coach-junior-player-instruction.avif"
13-lbta-philosophy-player-serve-toss,"Player reaching up into a serve toss on an outdoor court.","source-png/13-lbta-philosophy-player-serve-toss.png","webp/13-lbta-philosophy-player-serve-toss.webp","avif/13-lbta-philosophy-player-serve-toss.avif"
14-lbta-philosophy-adult-player-swing-portrait,"Adult player captured mid-swing in a portrait-style action shot.","source-png/14-lbta-philosophy-adult-player-swing-portrait.png","webp/14-lbta-philosophy-adult-player-swing-portrait.webp","avif/14-lbta-philosophy-adult-player-swing-portrait.avif"
15-lbta-philosophy-two-coaches-portrait,"Two LBTA coaches standing together on court for a portrait.","source-png/15-lbta-philosophy-two-coaches-portrait.png","webp/15-lbta-philosophy-two-coaches-portrait.webp","avif/15-lbta-philosophy-two-coaches-portrait.avif"
16-lbta-philosophy-junior-lunge-drill,"Junior player lunging into a low movement drill on court.","source-png/16-lbta-philosophy-junior-lunge-drill.png","webp/16-lbta-philosophy-junior-lunge-drill.webp","avif/16-lbta-philosophy-junior-lunge-drill.avif"
17-lbta-philosophy-adult-approach-shot,"Adult player moving forward to hit an approach shot near the net.","source-png/17-lbta-philosophy-adult-approach-shot.png","webp/17-lbta-philosophy-adult-approach-shot.webp","avif/17-lbta-philosophy-adult-approach-shot.avif"
18-lbta-philosophy-young-player-court-portrait,"Young player smiling while walking across the court with a racquet.","source-png/18-lbta-philosophy-young-player-court-portrait.png","webp/18-lbta-philosophy-young-player-court-portrait.webp","avif/18-lbta-philosophy-young-player-court-portrait.avif"
19-lbta-philosophy-team-racquet-lineup,"Coaches and players lined up across the net with racquets in a group action pose.","source-png/19-lbta-philosophy-team-racquet-lineup.png","webp/19-lbta-philosophy-team-racquet-lineup.webp","avif/19-lbta-philosophy-team-racquet-lineup.avif"
20-lbta-philosophy-coach-ball-basket-drill,"Coach working beside a ball basket during an on-court feeding drill.","source-png/20-lbta-philosophy-coach-ball-basket-drill.png","webp/20-lbta-philosophy-coach-ball-basket-drill.webp","avif/20-lbta-philosophy-coach-ball-basket-drill.avif"
21-lbta-philosophy-coach-group-session,"Coach leading a small group session on court during live-ball play.","source-png/21-lbta-philosophy-coach-group-session.png","webp/21-lbta-philosophy-coach-group-session.webp","avif/21-lbta-philosophy-coach-group-session.avif"
22-lbta-philosophy-coach-player-court-conversation,"Coach speaking with a player beside a ball basket during a lesson.","source-png/22-lbta-philosophy-coach-player-court-conversation.png","webp/22-lbta-philosophy-coach-player-court-conversation.webp","avif/22-lbta-philosophy-coach-player-court-conversation.avif"
23-lbta-philosophy-coach-junior-sunset-rally,"Coach and junior player rallying on court in warm sunset light.","source-png/23-lbta-philosophy-coach-junior-sunset-rally.png","webp/23-lbta-philosophy-coach-junior-sunset-rally.webp","avif/23-lbta-philosophy-coach-junior-sunset-rally.avif"
